,Country or region,Overall rank,Score,Whisker.high,Whisker.low,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Dystopia.Residual
79,Pakistan,80,5.26900005340576,5.35998364135623,5.17801646545529,0.7268835306167599,0.6726906895637509,0.40204778313636796,0.23521526157856,0.31544601917266807,0.12434806674718901,2.7924892902374303
80,Indonesia,81,5.26200008392334,5.35288859814405,5.17111156970263,0.995538592338562,1.2744446992874099,0.49234572052955605,0.443323463201523,0.611704587936401,0.0153171354904771,1.42947697639465
81,Venezuela,82,5.25,5.370031945556399,5.1299680544436,1.12843120098114,1.43133759498596,0.617144227027893,0.15399712324142498,0.0650196298956871,0.0644911229610443,1.78946375846863
82,Montenegro,83,5.23699998855591,5.34104444056749,5.132955536544321,1.12112903594971,1.23837649822235,0.6674646735191351,0.194989055395126,0.197911024093628,0.0881741940975189,1.72919154167175
83,Morocco,84,5.2350001335144,5.31834096476436,5.15165930226445,0.8781145811080929,0.774864435195923,0.59771066904068,0.408158332109451,0.0322099551558495,0.0877631828188896,2.45618939399719
84,Azerbaijan,85,5.234000205993651,5.29928653523326,5.168713876754049,1.1536017656326298,1.15240025520325,0.5407757759094239,0.39815583825111406,0.0452693402767181,0.180987507104874,1.7624816894531203
85,Dominican Republic,86,5.230000019073491,5.34906088516116,5.110939152985809,1.07937383651733,1.4024167060852097,0.574873745441437,0.55258983373642,0.186967849731445,0.113945253193378,1.3194651603698702
86,Greece,87,5.2270002365112305,5.3252461694181,5.12875430360436,1.28948748111725,1.23941457271576,0.8101989030838009,0.0957312509417534,0.0,0.043289776891470004,1.74922156333923
87,Lebanon,88,5.22499990463257,5.31888228848577,5.1311175207793704,1.07498753070831,1.1296242475509601,0.7350810766220089,0.28851598501205394,0.26445075869560203,0.037513829767704,1.69507384300232
88,Portugal,89,5.19500017166138,5.285041733086111,5.10495861023665,1.3151752948761002,1.36704301834106,0.795843541622162,0.498465299606323,0.0951027125120163,0.0158694516867399,1.10768270492554
89,Bosnia and Herzegovina,90,5.18200016021729,5.27633568674326,5.087664633691309,0.982409417629242,1.0693359375,0.705186307430267,0.204403176903725,0.328867495059967,0.0,1.89217257499695
90,Honduras,91,5.1810002326965305,5.30158279687166,5.0604176685214,0.730573117733002,1.14394497871399,0.582569479942322,0.348079860210419,0.23618887364864302,0.0733454525470734,2.0658111572265603
91,Macedonia,92,5.175000190734861,5.27217263966799,5.07782774180174,1.06457793712616,1.20789301395416,0.644948184490204,0.325905978679657,0.25376096367836,0.0602777935564518,1.6174693107605
